,title,split_title
0,预期不能为企业带来经济利益的资源不能确认为资产是错的。,预期 企业 带来 经济 利益 资源 确认 资产 错
1,请问下物流公司税负率多少？老师,请问 物流 公司 税负 率 老师
2,老师，两个人投资设立的有限公司，可以申请核定征收吗？如果可以，怎么申请？核定的话，是怎么交税？,老师 两个 投资 设立 有限公司 申请 核定 征收 申请 核定 交税
3,宋老师，要是公司名下没车，停车费和过路费能入差旅费吗？,宋 老师 公司 名下 没车 停车费 过路费 能入 差旅费
4,要打的借条到底是10元还是8元？刚才群里的老师说是8元。10元还有这种情况，就是前一任出纳每次转钱给老板时是有打借条的。中间换了人，后一任出纳没让打借条，然后又换了一个出纳，那要补的借条怎么补,借条 10 元 元 群里 老师 说 元 10 元 情况 前 一任 出纳 每次 转钱 老板 时 借条 换 一任 出纳 借条 换 出纳 那要 补 借条 补
5,老师，建筑业增值税税负率是3%，是什么意思呀，是按照收入的标准来算的吗？,老师 建筑业 增值税 税负 率 3% 收入 标准 来算
6,@宋老师:续之前企业所得税申报的问题，请问正确的本年累计数，是以税局申报系统里面的金额为准吗？,宋 老师 续 企业 所得税 申报 请问 正确 本年 累计数 税局 申报 系统 金额 为准
7,请问，实操中我下载的报表excel都是受保护的，我想对表格进行编辑学习，怎么能撤销保护，密码是多少？,请问 实操 中 下载 报表 excel 受 保护 想 表格 编辑 学习 撤销 保护 密码
8,与外商投资企业发生业务外商投资企业会开发票吗,外商投资 企业 发生 业务 外商投资 企业 开发票
9,@邹老师:老师您看下案例题分录或许就明白了,邹 老师 老师 案例 题 分录 明白
10,老师，企业所得税第一季度亏损，第二季度盈利，申报第二季度的时候可以弥补第一季度的亏损后的利润总额来缴税吗？企业所得税是按本期数的金额还是按累计数的金额来计得缴税的？,老师 企业 所得税 第一季度 亏损 第二季度 盈利 申报 第二季度 弥补 第一季度 亏损 利润总额 缴税 企业 所得税 本期 数 金额 累计数 金额 来计 缴税
